Date,"Korea, Exports, All, SA, USD bn","Korea, Exports, All, USD bn","Korea, Exports, All, USD bn, % YoY","Korea, Exports, All, KRW bn","Korea, Exports, All, KRW bn, % YoY","Korea, Exports, By Country, China, Total, SA, USD bn","Korea, Exports, By Country, China, Total, USD bn","Korea, Exports, By Country, China, Total, USD bn, % YoY","Korea, Exports, By Country, China and Hong Kong, Total, SA, USD bn","Korea, Exports, By Country, China and Hong Kong, Total, USD bn","Korea, Exports, By Country, China and Hong Kong, Total, USD bn, % YoY","Korea, Exports, By Country, ASEAN, Total, SA, USD bn","Korea, Exports, By Country, ASEAN, Total, USD bn","Korea, Exports, By Country, ASEAN, Total, USD bn, % YoY","Korea, Exports, By Country, United States, Total, SA, USD bn","Korea, Exports, By Country, United States, Total, USD bn","Korea, Exports, By Country, United States, Total, USD bn, % YoY","Korea, Imports, All, SA, USD bn","Korea, Imports, All, USD bn","Korea, Imports, All, USD bn, % YoY","Korea, Imports, All, KRW bn","Korea, Imports, All, KRW bn, % YoY","Korea, Imports, By Country, China, Total, SA, USD bn","Korea, Imports, By Country, China, Total, USD bn","Korea, Imports, By Country, China, Total, USD bn, % YoY","Korea, Imports, By Country, China and Hong Kong, Total, SA, USD bn","Korea, Imports, By Country, China and Hong Kong, Total, USD bn","Korea, Imports, By Country, China and Hong Kong, Total, USD bn, % YoY","Korea, Imports, By Country, ASEAN, Total, SA, USD bn","Korea, Imports, By Country, ASEAN, Total, USD bn","Korea, Imports, By Country, ASEAN, Total, USD bn, % YoY","Korea, Imports, By Country, United States, Total, SA, USD bn","Korea, Imports, By Country, United States, Total, USD bn","Korea, Imports, By Country, United States, Total, USD bn, % YoY","Korea, Trade balance, All, SA, USD bn","Korea, Trade balance, All, USD bn","Korea, Trade balance, By Country, China, Total, SA, USD bn","Korea, Trade balance, By Country, China, Total, USD bn","Korea, Trade balance, By Country, China and Hong Kong, Total, SA, USD bn","Korea, Trade balance, By Country, China and Hong Kong, Total, USD bn","Korea, Trade balance, By Country, ASEAN, Total, SA, USD bn","Korea, Trade balance, By Country, ASEAN, Total, USD bn","Korea, Trade balance, By Country, United States, Total, SA, USD bn","Korea, Trade balance, By Country, United States, Total, USD bn"
2019-01-01,47.7581728269126,46.168934,-6.201294070080365,51824.031820034856,-1.2659339998320585,11.3758837907711,10.836336,-19.018840090708643,13.7508816835952,13.05404,-22.34692176741052,8.63547618091825,8.659894,3.856866695921224,6.66572129907925,6.209466,20.345695120114748,42.8621934113846,45.153389,-1.423269112702663,50684.09568040734,3.763493931131556,9.61748854609104,10.338825,12.907109697245712,9.76326636453559,10.494196,12.301936963555328,4.71498900742861,5.107274,-1.7641307707591758,5.07778703503392,5.290688,7.303780293150686,4.8959794155279965,1.015545000000003,1.7583952446800597,0.4975109999999993,3.987615319059609,2.5598439999999982,3.92048717348964,3.5526199999999992,1.5879342640453302,0.9187779999999997
2019-02-01,45.3205284138434,39.481803,-11.323736011048544,44324.05445379643,-7.679479352415441,11.3105808227024,9.532194,-17.274390713814103,13.9071881861471,11.843874,-18.62779611717723,8.03316242955661,7.359898,-3.058787888766324,6.17878795973226,5.442457,16.22853625846441,39.9218723012859,36.651437,-12.153535984743268,41146.55780532336,-8.54338094410172,8.20292051806613,6.583455,-13.356941046783232,8.35095432733498,6.709867,-13.568973969962627,4.57560952114495,4.097007,-9.547641840182418,4.85250524002592,4.371194,-3.4659081498232718,5.3986561125574966,2.830365999999998,3.107660304636271,2.9487390000000007,5.556233858812119,5.134007,3.4575529084116594,3.2628910000000007,1.3262827197063398,1.071263
2019-03-01,45.0407051189945,47.003206,-8.39355234382303,53217.70790144976,-3.216766940629212,11.4889261130526,11.442781,-15.717303812489469,14.3498919365971,14.709556,-16.891351173850467,7.61867140376236,7.909419,-7.873364209865208,5.96453238364504,6.319152,3.957084968025604,41.2196900351193,41.992349,-6.471333875809348,47544.34331942667,-1.1859217027585631,8.98034227239796,8.804782,4.6628856337390445,9.13072841205657,8.97519,3.786910498491558,4.55195304120748,4.769985,-5.151238515956214,4.76055458173053,5.022184,-3.5573587052809663,3.821015083875203,5.0108570000000014,2.508583840654639,2.6379990000000006,5.21916352454053,5.734366,3.06671836255488,3.139434,1.20397780191451,1.2969679999999997
2019-04-01,48.4088513235836,48.781156,-2.1445816654625527,55753.6900938296,4.573665208526068,12.8514787023645,12.429813,-4.6425214523032166,15.4947868462274,15.021601,-10.974527086283992,8.2479606298424,8.45876,-1.1620420625341188,6.04909247321431,6.158443,3.640606693173498,44.020705689619,45.047164,3.096997633288612,51485.97998091553,10.175104230304632,9.17060300274979,9.793054,12.301543980037444,9.34571124432529,9.971371,12.137514996471022,4.80629886715379,4.947183,0.4080511816537013,5.10026853259543,5.585755,17.420392482158608,4.388145633964598,3.7339920000000006,3.6808756996147096,2.636759,6.14907560190211,5.050230000000001,3.44166176268861,3.511577,0.9488239406188804,0.5726880000000003
2019-05-01,45.6511641474996,45.703948,-9.832359889716946,54152.56392182964,-0.8205263032934007,11.0905748290384,11.014513,-20.483738692886888,14.0374849668166,13.959108,-22.831457168417906,7.84621666168515,7.57558,-4.612041861215921,6.27926875041895,6.500301,5.643850764330383,43.9322669815761,43.619667,-1.8872829225504817,51682.99258231309,7.91862391866669,9.43204368605728,9.943419,7.152144676779049,9.6151031484618,10.163101,7.552711734293815,4.65286807740903,4.47333,-3.520955738515996,5.32027300903459,5.512696,14.321691564924844,1.7188971659235008,2.084280999999997,1.6585311429811205,1.0710940000000004,4.422381818354799,3.796007,3.19334858427612,3.1022500000000006,0.95899574138436,0.9876050000000004
2019-06-01,43.4140525608381,44.008404,-13.843103992560602,51646.26248838778,-7.610432990858252,11.0394808767894,10.422956,-24.549195283331173,13.6407887629548,13.294847999999998,-26.860064181233767,7.62370899959085,7.227094,-8.533393103732823,6.02817960527912,6.249176,-2.6838202431263114,41.7943782009985,40.104812,-10.87852035383692,47065.184358865736,-4.431388579597018,8.97390765240441,8.656551,-0.6480762463706546,9.1062870730493,8.766094,-1.1075586475187804,4.62186617194981,4.33463,-11.425257583442097,4.73406024680147,4.671519,-2.4362538430645064,1.6196743598395995,3.903591999999996,2.0655732243849894,1.766404999999999,4.5345016899055,4.5287539999999975,3.00184282764104,2.8924640000000004,1.2941193584776496,1.5776570000000003
2019-07-01,44.1170395478655,46.078221,-11.06351242625615,54230.69282259703,-6.844968275506735,11.1526546569892,11.444067,-16.595928368828073,14.1554716710861,14.205606,-20.5141999898276,8.06811925467914,8.255743,0.719490901779829,5.80547146921135,6.11323,-0.6250486655598686,42.2821636638045,43.762245,-2.5709594780992218,51504.95861856804,2.050413821200392,9.17692076531733,9.392846,5.903163707350267,9.32923817557023,9.553116,6.034962142881417,4.71685399722933,4.849734,-3.0231637378722365,5.31787168916546,5.383261,9.76404016479917,1.8348758840609989,2.315975999999999,1.9757338916718703,2.051221,4.82623349551587,4.652489999999999,3.3512652574498096,3.406009000000001,0.4875997800458895,0.7299689999999996
2019-08-01,44.0024797440085,44.020065,-13.990467336462798,53296.0595081876,-7.165114411530538,10.9834137837173,11.287793,-21.620827411215803,13.7718316421493,13.865969,-24.95880328668838,8.51630848367215,8.545812,1.3098011861070846,5.78169285043013,5.619803,-7.081543928987966,42.4105556441959,42.45725,-4.2910158158182,51403.92506358175,3.304044579397014,8.75673414549622,8.312968,-2.4932637634812798,8.84443199398639,8.45106,-2.728687823803777,4.58587419309153,4.700927,-4.837338351532816,5.11998025288635,5.175083,7.079286025394471,1.5919240998125943,1.5628150000000005,2.2266796382210803,2.974825000000001,4.927399648162909,5.414909,3.93043429058062,3.844885,0.6617125975437803,0.4447200000000002
2019-09-01,44.9181703815694,44.629053,-11.887720184683149,53334.67661640716,-5.989457175441581,10.9124167900695,11.362386,-22.124920899029764,13.5786395515849,14.188378,-27.215758897082388,7.84054587499798,7.916952,-0.576551496183153,6.0535255776452,5.690676,-2.2402196430525656,41.1184659327053,38.741473,-5.584429656104484,46298.62825227928,0.735777552505712,8.75022409303542,8.197068,3.8933115670814153,8.90597464139751,8.322697,3.328187634829382,5.08232440102231,5.03772,5.861541881935328,5.280598372319,4.758785,9.460415586542492,3.799704448864098,5.88758,2.1621926970340795,3.165318000000001,4.67266491018739,5.865681,2.75822147397567,2.879232,0.7729272053261997,0.9318910000000002
2019-10-01,45.2017136422812,46.648756,-14.968114471099414,55236.96430010466,-11.064434010691503,11.1744607506692,12.243754,-17.08728918677751,14.2004164401907,14.722638,-21.00197266514122,7.94150003329118,8.042693,-8.785474709033492,6.17127748368596,6.357758,-8.916781897961146,40.993474889152,41.396517,-14.612233284649957,49017.7686984338,-10.692214877304506,8.72744054987135,9.215893,-7.499818329782237,8.8660204043265,9.336845,-7.568527833353289,4.8755031767199,5.079563,-13.265241828942631,5.128350112209,4.963127,-11.180088098221608,4.208238753129201,5.252238999999996,2.4470202007978497,3.027861,5.3343960358642,5.385793,3.06599685657128,2.96313,1.04292737147696,1.3946309999999995
