raw_data_name,data_type,cleaned_name
"Exports, Europe, Work day adjusted, USD bn",b,"Exports, Europe, Work day adjusted, Value, USD"
"Exports, Latin America, Work day adjusted, USD bn",b,"Exports, Latin America, Work day adjusted, Value, USD"
"Exports, Middle East, Work day adjusted, USD bn",b,"Exports, Middle East, Work day adjusted, Value, USD"
"Exports, Mobile phones, Work day adjusted, USD bn",b,"Exports, Mobile phones, Work day adjusted, Value, USD"
"Exports, North America, Work day adjusted, USD bn",b,"Exports, North America, Work day adjusted, Value, USD"
"Exports, Oceania, Work day adjusted, USD bn",b,"Exports, Oceania, Work day adjusted, Value, USD"
"Exports, Semiconductor mfg equipment, Work day adjusted, USD bn",b,"Exports, Semiconductor mfg equipment, Work day adjusted, Value, USD"
"Exports, all, Work day adjusted, USD bn",b,"Exports, all, Work day adjusted, Value, USD"
"Exports, mineral fuels, Work day adjusted, USD bn",b,"Exports, mineral fuels, Work day adjusted, Value, USD"
"Imports, ASEAN, Work day adjusted, USD bn",b,"Imports, ASEAN, Work day adjusted, Value, USD"
"Imports, Africa, Work day adjusted, USD bn",b,"Imports, Africa, Work day adjusted, Value, USD"
"Imports, Asia, Work day adjusted, USD bn",b,"Imports, Asia, Work day adjusted, Value, USD"
"Imports, Europe, Work day adjusted, USD bn",b,"Imports, Europe, Work day adjusted, Value, USD"
"Imports, Hong Kong, Work day adjusted, USD bn",b,"Imports, Hong Kong, Work day adjusted, Value, USD"
"Imports, Latin America, Work day adjusted, USD bn",b,"Imports, Latin America, Work day adjusted, Value, USD"
"Imports, Middle East, Work day adjusted, USD bn",b,"Imports, Middle East, Work day adjusted, Value, USD"
"Imports, Mobile phones, Work day adjusted, USD bn",b,"Imports, Mobile phones, Work day adjusted, Value, USD"
"Imports, North America, Work day adjusted, USD bn",b,"Imports, North America, Work day adjusted, Value, USD"
"Imports, Oceania, Work day adjusted, USD bn",b,"Imports, Oceania, Work day adjusted, Value, USD"
"Imports, all, Work day adjusted, USD bn",b,"Imports, all, Work day adjusted, Value, USD"
"Imports, mineral fuels, Work day adjusted, USD bn",b,"Imports, mineral fuels, Work day adjusted, Value, USD"
"Exports, EM, Work day adjusted, USD bn",b,"Exports, EM, Work day adjusted, Value, USD"
"Imports, All, KRW bn",b,"Imports, All, Value, LCU"
"Exports, All, KRW bn",b,"Exports, All, Value, LCU"
"Exports, China, USD bn, % YoY",p,"Exports, China, Value, USD, % YoY"
"Exports, US, USD bn, % YoY",p,"Exports, US, Value, USD, % YoY"
"Exports, EU, USD bn, % YoY",p,"Exports, EU, Value, USD, % YoY"
"Exports, Vietnam, USD bn, % YoY",p,"Exports, Vietnam, Value, USD, % YoY"
"Exports, Hong Kong, USD bn, % YoY",p,"Exports, Hong Kong, Value, USD, % YoY"
"Exports, Japan, USD bn, % YoY",p,"Exports, Japan, Value, USD, % YoY"
"Exports, Taiwan, USD bn, % YoY",p,"Exports, Taiwan, Value, USD, % YoY"
"Exports, India, USD bn, % YoY",p,"Exports, India, Value, USD, % YoY"
"Exports, Singapore, USD bn, % YoY",p,"Exports, Singapore, Value, USD, % YoY"
"Exports, Malaysia, USD bn, % YoY",p,"Exports, Malaysia, Value, USD, % YoY"
"Exports, Country, Other, USD bn, % YoY",p,"Exports, Country, Other, Value, USD, % YoY"
"Exports, ASEAN Three and India, USD bn, % YoY",p,"Exports, ASEAN Three and India, Value, USD, % YoY"
"Exports, North Asia, USD bn, % YoY",p,"Exports, North Asia, Value, USD, % YoY"
"Exports, DM, USD bn, % YoY",p,"Exports, DM, Value, USD, % YoY"
"Exports, China and Hong Kong, USD bn, % YoY",p,"Exports, China and Hong Kong, Value, USD, % YoY"
"Imports, China, USD bn, % YoY",p,"Imports, China, Value, USD, % YoY"
"Imports, US, USD bn, % YoY",p,"Imports, US, Value, USD, % YoY"
"Imports, EU, USD bn, % YoY",p,"Imports, EU, Value, USD, % YoY"
"Imports, Japan, USD bn, % YoY",p,"Imports, Japan, Value, USD, % YoY"
"Imports, Vietnam, USD bn, % YoY",p,"Imports, Vietnam, Value, USD, % YoY"
"Imports, Australia, USD bn, % YoY",p,"Imports, Australia, Value, USD, % YoY"
"Imports, Taiwan, USD bn, % YoY",p,"Imports, Taiwan, Value, USD, % YoY"
"Imports, Saudi Arabia, USD bn, % YoY",p,"Imports, Saudi Arabia, Value, USD, % YoY"
