Date,"Korea, PPI, Index","Korea, PPI, Energy, Index","Korea, PPI, Excluding IT, Index","Korea, PPI, Excluding energy, Index","Korea, PPI, Excluding foods & energy, Index","Korea, PPI, Excluding foods, Index","Korea, PPI, Excluding fresh foods & energy, Index","Korea, PPI, Excluding fresh foods, Index","Korea, PPI, Foods, Index","Korea, PPI, Fresh foods, Index","Korea, PPI, Information technology, Index","Korea, PPI, % YoY","Korea, PPI, Energy, % YoY","Korea, PPI, Excluding IT, % YoY","Korea, PPI, Excluding energy, % YoY","Korea, PPI, Excluding foods & energy, % YoY","Korea, PPI, Excluding foods, % YoY","Korea, PPI, Excluding fresh foods & energy, % YoY","Korea, PPI, Excluding fresh foods, % YoY","Korea, PPI, Foods, % YoY","Korea, PPI, Fresh foods, % YoY","Korea, PPI, Information technology, % YoY","Korea, PPI, Index, SA","Korea, PPI, Energy, Index, SA","Korea, PPI, Excluding IT, Index, SA","Korea, PPI, Excluding energy, Index, SA","Korea, PPI, Excluding foods & energy, Index, SA","Korea, PPI, Excluding foods, Index, SA","Korea, PPI, Excluding fresh foods & energy, Index, SA","Korea, PPI, Excluding fresh foods, Index, SA","Korea, PPI, Foods, Index, SA","Korea, PPI, Fresh foods, Index, SA","Korea, PPI, Information technology, Index, SA","Korea, PPI, Index, 3mma","Korea, PPI, Energy, Index, 3mma","Korea, PPI, Excluding IT, Index, 3mma","Korea, PPI, Excluding energy, Index, 3mma","Korea, PPI, Excluding foods & energy, Index, 3mma","Korea, PPI, Excluding foods, Index, 3mma","Korea, PPI, Excluding fresh foods & energy, Index, 3mma","Korea, PPI, Excluding fresh foods, Index, 3mma","Korea, PPI, Foods, Index, 3mma","Korea, PPI, Fresh foods, Index, 3mma","Korea, PPI, Information technology, Index, 3mma","Korea, PPI, % YoY, 3mma","Korea, PPI, Energy, % YoY, 3mma","Korea, PPI, Excluding IT, % YoY, 3mma","Korea, PPI, Excluding energy, % YoY, 3mma","Korea, PPI, Excluding foods & energy, % YoY, 3mma","Korea, PPI, Excluding foods, % YoY, 3mma","Korea, PPI, Excluding fresh foods & energy, % YoY, 3mma","Korea, PPI, Excluding fresh foods, % YoY, 3mma","Korea, PPI, Foods, % YoY, 3mma","Korea, PPI, Fresh foods, % YoY, 3mma","Korea, PPI, Information technology, % YoY, 3mma","Korea, PPI, Index, SA, 3mma","Korea, PPI, Energy, Index, SA, 3mma","Korea, PPI, Excluding IT, Index, SA, 3mma","Korea, PPI, Excluding energy, Index, SA, 3mma","Korea, PPI, Excluding foods & energy, Index, SA, 3mma","Korea, PPI, Excluding foods, Index, SA, 3mma","Korea, PPI, Excluding fresh foods & energy, Index, SA, 3mma","Korea, PPI, Excluding fresh foods, Index, SA, 3mma","Korea, PPI, Foods, Index, SA, 3mma","Korea, PPI, Fresh foods, Index, SA, 3mma","Korea, PPI, Information technology, Index, SA, 3mma"
2005-05-01,85.71,70.15,80.17,87.79,88.89,86.6,88.2,86.04,75.22,68.68,131.08,1.8659377228428697,7.707661599877191,3.0992798353909334,1.117254088919628,1.3106906770002258,2.158782588179786,1.4026212922510828,2.148878071945859,-0.7913479293062409,-7.164098404974317,-7.96236483639936,85.3902334102068,69.6094936773322,79.7091975038723,87.4457900688471,88.4831628851984,86.283886565826,87.8119730872724,85.6984869366878,74.9785917815183,70.465994966964,131.677569097523,86.00333333333333,69.31333333333333,80.35666666666667,88.19666666666667,89.30999999999999,86.8,88.5,86.24666666666667,76.28666666666668,74.15333333333332,132.30666666666667,2.5407793491073103,7.00660975671991,3.633423037508629,1.9360125058298872,2.2819663709615856,2.890401999372664,2.1726653189628298,2.8150047562046567,-0.2676513577454169,-4.830357838285226,-6.9544372313887735,86.01198997530683,69.56806520885634,80.22726193921899,88.11194742836012,89.28528843927366,86.87760813233696,88.48614137879156,86.30840263731584,75.40711350851281,71.32891774061034,133.10531469454332
2005-06-01,85.32,70.43,79.77,87.25,88.62,86.34,87.86,85.78,73.65,61.61,130.68,1.498929336188426,8.13757101182253,2.5848765432098686,0.5995618586417617,1.0029633006610528,1.852070307891962,1.011726833754878,1.840199453876279,-2.0872108481786666,-13.286418015482049,-7.470084259718179,84.997413616579,69.8375977827166,79.4186065119935,86.8652316022194,88.2120026718831,85.8763938993731,87.2504717151891,85.28259803801,74.7376224592591,68.7789609536939,130.580130344016,85.76666666666665,70.14666666666666,80.19666666666666,87.81333333333333,89.00999999999999,86.65666666666668,88.23666666666668,86.10000000000001,75.24333333333334,69.19,131.42666666666668,2.0468864305261145,7.9791499494257225,3.1736338608897654,1.249403407574327,1.587575664027015,2.36751244367992,1.5505636643446656,2.3260801073529644,-0.8638341366842495,-7.66593506575111,-7.373882600175122,85.53158404314411,69.76802045848306,79.84649718750137,87.51904067418417,88.71739015253246,86.40271604122277,87.88410897409567,85.83236272595364,75.10631658630014,70.5574952163286,131.86107172052365
2005-07-01,85.84,72.95,80.33,87.52,88.8,86.77,88.04,86.22,74.33,67.2,130.81,1.7061611374407537,11.886503067484666,2.671267893660545,0.49374210586747846,1.0009099181073733,2.250765967475843,0.9285796171042193,2.047579595218374,-3.014091858037582,-11.345646437994716,-6.857020791797208,85.3686646695655,71.281297690598,79.7974982539931,87.1644849785947,88.3911763613009,86.2068288149367,87.6078706162481,85.6535932029399,74.8054374874867,71.4596712501601,131.053256243647,85.62333333333333,71.17666666666668,80.09,87.52,88.77,86.57,88.03333333333335,86.01333333333334,74.39999999999999,65.83,130.85666666666665,1.6903427321573499,9.243911893061464,2.7851414240871164,0.7368526844762894,1.104854631922884,2.087206287849197,1.1143092477033933,2.0122190403468374,-1.9642168785074965,-10.598720952817027,-7.429823295971583,85.25210389878377,70.24279638354894,79.64176742328631,87.15850221655374,88.36211397279413,86.12236976004526,87.55677180623654,85.54489272587922,74.84055057608803,70.234875723606,131.10365189506203
2005-08-01,86.08,73.44,80.74,87.79,88.98,87.03,88.2,86.39,74.78,69.86,130.15,1.1040638947615644,9.97304582210241,2.0475227502527726,0.10262257696693755,0.7016749660479826,1.718092566619922,0.59306569343065,1.4205212491195107,-4.55647734524568,-13.432465923172243,-6.447671075330652,85.5353092391727,72.0823057342351,80.1775853264609,87.3536132472159,88.6219505568242,86.499944164415,87.7910210633664,85.8503280105583,74.0915551373245,68.0159234908719,130.115183163675,85.74666666666667,72.27333333333334,80.27999999999999,87.52,88.8,86.71333333333332,88.03333333333335,86.13,74.25333333333334,66.22333333333334,130.54666666666665,1.4363847894635813,9.999039967136534,2.4345557290410627,0.39864218049205924,0.9018493949388029,1.940309613995909,0.8444573814299158,1.7694334327380545,-3.2192600171539762,-12.688176792216334,-6.924925375615346,85.30046250843907,71.06706706918322,79.7978966974825,87.12777660934334,88.40837653000273,86.19438895957494,87.54978779826786,85.5955064171694,74.5448716946901,69.4181852315753,130.58285658377932
2005-09-01,86.46,74.88,81.14,87.96,89.25,87.47,88.38,86.73,74.92,72.23,130.55,1.1346356298982396,10.475066391265852,2.0372233400402395,0.0,0.4049949375632744,1.5086457003597564,0.20408163265306367,1.2136772085424186,-2.24425887265135,-3.744669509594889,-5.350540129050962,86.009992960767,73.3495808855206,80.66155480649,87.5688325009368,88.9374577205476,86.9635930495492,87.9908219816604,86.2723716004205,74.0419853242835,68.8983335886473,129.736563580081,86.12666666666667,73.75666666666667,80.73666666666666,87.75666666666666,89.00999999999999,87.08999999999999,88.20666666666666,86.44666666666667,74.67666666666668,69.76333333333334,130.50333333333333,1.3149535540335193,10.778205093617643,2.252004661317853,0.198788227611472,0.7025266072395434,1.825834744818507,0.5752423143959776,1.5605926842934343,-3.2716093586448705,-9.507593956920616,-6.21841066539294,85.63798895650173,72.23772810345123,80.212212795648,87.36231024224912,88.65019487955756,86.5567886763003,87.79657122042498,85.9254309379729,74.31299264969824,69.4579761098931,130.30166766246768
2005-10-01,86.69,75.31,81.3,88.23,89.7,87.91,88.65,86.99,73.13,69.72,131.21,1.356249269262233,9.478121820031982,2.2384305835010165,0.5011960359949885,0.4029550033579632,1.4190124596215936,0.3054989816700715,1.1041376104137468,0.4119181655910964,8.36182778986634,-4.512044247143576,86.494412334711,75.07468855904,81.2783658543113,88.1103801719365,89.4284469790097,87.5956860970025,88.4678407843344,86.7696557189496,74.8158593788268,74.2856228417303,130.147865391437,86.41000000000001,74.54333333333334,81.06,87.99333333333334,89.31,87.47000000000001,88.41000000000001,86.70333333333333,74.27666666666666,70.60333333333334,130.63666666666668,1.198316264640679,9.975411344466748,2.1077255579313436,0.2012728709873087,0.5032083023230735,1.5485835755337574,0.36754876925126173,1.246112022691892,-2.1296060174353113,-2.93843588096693,-5.436751817175064,86.01323817821691,73.50219172626522,80.7058353290874,87.67760864002973,88.99595175212717,87.01974110365558,88.08322794312039,86.2974517766428,74.31646661347827,70.39995997374983,129.99987071173098
2005-11-01,86.44,74.88,81.05,87.96,89.61,87.82,88.56,86.91,71.42,64.69,131.08,0.9931066713400938,7.942914804670598,1.6046132631315047,0.19364392299805466,0.2012747400201187,1.1052268017499367,0.10172939979653517,0.905607802159536,-0.515392115893587,6.696354939798765,-3.30480967837119,86.6660952023586,75.4985619969438,81.4929507998043,88.287588708292,89.6775131056027,87.8960635309853,88.7786483167665,87.0633478546627,73.211838337512,69.5693232559401,130.002237480231,86.53000000000002,75.02333333333333,81.16333333333333,88.05,89.52,87.73333333333333,88.53000000000002,86.87666666666667,73.15666666666667,68.88,130.9466666666667,1.1613305235001887,9.29870100532281,1.9600890622242542,0.23161331966434773,0.3364082269804521,1.3442949872437622,0.2037700047065568,1.074474207038567,-0.7825776076512803,3.7711710733567387,-4.38913135152191,86.3901668326122,74.6409438138348,81.14429048686854,87.98893379372176,89.34780593505333,87.48511422584568,88.4124370275871,86.7017917246776,74.02322768020743,70.91775989543923,129.96222215058302
2005-12-01,86.19,74.59,80.9,87.7,89.25,87.38,88.2,86.56,72.76,67.48,130.15,1.4477401129943557,11.09621686029194,2.249747219413556,0.4121822761621319,0.30343897505056283,1.4042009980271386,0.0907852927825692,1.2160898035547207,1.1398387545176636,9.920182440136838,-3.428062625213335,86.7552943124145,75.7986865120253,81.6327383040362,88.2991684830863,89.7450579617881,87.9409264245297,88.7548121629438,87.0988414600165,73.6521084314653,70.031767930318,129.494499005964,86.44000000000001,74.92666666666666,81.08333333333333,87.96333333333332,89.52,87.70333333333333,88.47000000000001,86.82,72.43666666666667,67.29666666666667,130.81333333333336,1.2656986845322276,9.505751161664842,2.030930355348693,0.3690074117183917,0.3025562394762149,1.309480086466223,0.1660045580830586,1.0752784053760012,0.345454934738391,8.326121723267315,-3.748305516909367,86.63860061649468,75.45731235600304,81.46801831938393,88.23237912110494,89.61700601546683,87.81089201750582,88.66710042134822,86.97728167787625,73.8932687159347,71.2955713426628,129.88153395921066
2006-01-01,86.49,76.38,81.54,87.88,89.07,87.47,88.12,86.64,74.99,76.92,127.78,0.8276987642807043,13.155555555555543,2.3214957962103266,-0.2949852507374673,-0.4025494800402707,0.9113982464236114,-0.5978567399887225,0.5921281783350718,0.3882195448460468,11.559100797679477,-5.919599469886605,87.1168563254312,77.751422872392,82.2006227272602,88.4585257847364,89.7443157252519,88.2421674555746,88.8095453773957,87.3514181098374,74.3464398463346,74.0573286588331,128.19313059352,86.37333333333333,75.28333333333335,81.16333333333334,87.84666666666665,89.31,87.55666666666666,88.29333333333334,86.70333333333333,73.05666666666667,69.69666666666667,129.67,1.089515182871718,10.73156240683936,2.0586187595851295,0.10361364947423975,0.034054745010136944,1.1402753487335622,-0.13511401580320603,0.9046085946831095,0.3375553944900411,9.39187939253836,-4.217490591157044,86.84608194673477,76.34955712712038,81.77543727703356,88.3484276587049,89.72229559754756,88.02638580369653,88.78100195236867,87.17120247483886,73.7367955384373,71.21947328169706,129.22995569323834
2006-02-01,86.53,76.81,81.7,87.79,89.07,87.56,88.04,86.73,74.62,77.9,126.59,0.6748109365910304,13.205600589535749,2.214437632928812,-0.600090579710133,-0.4025494800402707,0.9104529215166579,-0.6880992667794739,0.6966213862765747,-2.0606378789867374,3.714551990414061,-6.160118606375098,87.1540020603973,78.5734635281014,82.2955898273025,88.3030727590258,89.7022424807083,88.3488762425845,88.6928990611077,87.4875394413156,73.8305708663348,72.134799680709,127.439906556709,86.40333333333335,75.92666666666668,81.38000000000001,87.79,89.13,87.46999999999998,88.12,86.64333333333333,74.12333333333333,74.10000000000001,128.17333333333332,0.9834166046220302,12.48579100179441,2.2618935495175654,-0.16096451809515613,-0.16721999500999285,1.075350721989136,-0.39839023799520906,0.8349464560554557,-0.177526526541009,8.397945076076793,-5.169260233825013,87.00871756608102,77.3745243041729,82.04298361953296,88.3535890089495,89.73053872258276,88.1773233742296,88.75241886714906,87.31259967038983,73.94303971471157,72.07463208995337,128.37584538539767
2006-03-01,86.42,77.03,81.7,87.7,88.89,87.38,87.86,86.56,74.85,78.53,125.67,0.45333023363942626,13.396143088473412,1.806853582554524,-0.7918552036199178,-0.7037533512064265,0.7030079520571553,-0.8911449520586645,0.39434006031082713,-2.5136754363115466,2.6535947712418295,-5.738073807380728,86.7930687141145,78.5188011674341,81.9902556276181,87.9118756187371,89.2830190644151,87.9143876251549,88.2544239391661,87.0309521279518,73.4211584392093,72.3113069501299,126.527389923639,86.48000000000002,76.74,81.64666666666666,87.79,89.00999999999999,87.46999999999998,88.00666666666666,86.64333333333333,74.82000000000001,77.78333333333335,126.68,0.6519466448370537,13.252433077854901,2.1142623372312213,-0.5623103446891727,-0.5029507704289893,0.8416197066658082,-0.7257003196089536,0.5610298749741579,-1.3953645901507457,5.975749186445122,-5.939263961214144,87.02130903331432,78.28122918930917,82.16215606072693,88.22449138749977,89.57652575679178,88.16847710777132,88.58562279255649,87.28996989303494,73.86605638395956,72.83447842989067,127.38680902462268
2006-04-01,86.58,78.25,82.1,87.7,88.98,87.65,88.04,86.82,74.33,75.31,123.95,0.3593369653413836,12.009733753220718,1.797892126472389,-0.7918552036199178,-0.6032171581769386,0.7123980236700023,-0.6880992667794739,0.3931544865864778,-3.2916991933385376,-2.5491718426500998,-6.4669483851494185,86.5035944891194,78.241620965323,81.8438748399816,87.5262595334124,88.9007491832784,87.6701174248508,87.9586174379992,86.8540467594252,73.0654814111661,70.5171949844917,124.662039296501,86.51,77.36333333333334,81.83333333333333,87.73,88.98,87.53000000000002,87.98,86.70333333333333,74.60000000000001,77.24666666666667,125.40333333333335,0.4958260451906134,12.870492477076626,1.9397277806519089,-0.7279336623166562,-0.5698399964745452,0.7752862990812718,-0.7557811618725374,0.49470531105795984,-2.622004169545607,1.272991639668597,-6.121713599635082,86.81688842121041,78.4446285536195,82.04324009830073,87.91373597039177,89.29533690946727,87.97779376419673,88.301980146091,87.12417944289753,73.4390702389034,71.65443387177686,126.209778592283
2006-05-01,86.88,78.67,82.43,87.96,89.43,88.0,88.47,87.26,73.51,68.39,123.82,1.3650682534126712,12.14540270848181,2.81900960459025,0.19364392299805466,0.6074924063449227,1.616628175519641,0.3061224489795844,1.4179451417945188,-2.2733315607551097,-0.4222481071636697,-5.538602380225832,86.5679120696268,78.0979926871852,81.9629394371771,87.6141002160586,89.0250039437353,87.6762733607467,88.0861078224317,86.9165323858803,73.1899984981352,69.5453241624355,124.352037695238,86.62666666666667,77.98333333333335,82.07666666666667,87.78666666666668,89.10000000000001,87.67666666666668,88.12333333333333,86.88,74.23,74.07666666666667,124.48,0.7259118174644937,12.51709318339198,2.1412517712057215,-0.4633554947472603,-0.23315936767948076,1.0106780504155994,-0.4243739232861847,0.7351465628972745,-2.692902063468398,-0.10594172619064664,-5.914541524251994,86.62152509095357,78.28613827331411,81.9323566349256,87.68407845606937,89.06959073047626,87.75359280358414,88.09971639986566,86.93384375775243,73.22554611617021,70.7912753656857,125.18048897179267
2006-06-01,86.72,78.67,82.35,87.79,89.34,88.0,88.47,87.26,72.46,60.21,123.55,1.6408813877168305,11.69955984665625,3.234298608499442,0.6189111747850973,0.8124576844956044,1.9226314570303327,0.6942863646710595,1.7253439030076922,-1.6157501697216747,-2.2723583833793137,-5.456075910621372,86.3958854248121,77.9918815071774,81.9986791514117,87.3980676599001,88.9339533675393,87.536918872678,87.862454305817,86.766609951244,73.582225551389,66.7622833176412,123.426903848691,86.72666666666667,78.53,82.29333333333334,87.81666666666666,89.25,87.88333333333334,88.32666666666667,87.11333333333334,73.43333333333334,67.97,123.77333333333333,1.1217622021569618,11.951565436119594,2.6170667798540275,0.006899964721078049,0.2722443108878629,1.417219218739992,0.10410318229039002,1.1788145104628962,-2.393593641271774,-1.747926111064361,-5.820542225332208,86.4891306611861,78.11049838656186,81.93516447619014,87.51280913645705,88.95323549818433,87.62776988609183,87.96905985541598,86.84572969884984,73.27923515356343,68.9416008215228,124.14699361347668
2006-07-01,86.99,80.33,82.83,87.88,89.43,88.26,88.47,87.51,72.61,62.65,121.84,1.3397017707362346,10.11651816312542,3.112162330387158,0.41133455210238257,0.7094594594594605,1.7171833583035756,0.4884143571104005,1.4961725817675742,-2.31400511233687,-6.7708333333333375,-6.857273908722572,86.4891566771317,78.4262285140654,82.2560999378083,87.4958396026151,89.0013668162869,87.6665493144206,88.0161835804378,86.9157987784848,73.0437806916283,66.0342059050024,122.015985270991,86.86333333333334,79.22333333333334,82.53666666666666,87.87666666666667,89.40000000000002,88.08666666666666,88.47,87.34333333333335,72.86,63.75,123.07,1.4485504706219121,11.320493572754494,3.0551568478256175,0.4079632166285115,0.7098031834333293,1.7521476636178497,0.4962743902536815,1.546487208856595,-2.067695614271218,-3.1551466079587733,-5.950650733189925,86.4843180571902,78.17203423614266,82.07257284213237,87.5026691595246,88.98677470918717,87.62658051594845,87.98824856956217,86.86631370520303,73.27200158038416,67.4472711283597,123.26497560497334
2006-08-01,87.55,80.82,83.48,88.49,89.79,88.61,88.83,87.86,74.92,71.81,121.58,1.7077137546468446,10.049019607843125,3.393609115679963,0.7973573299920211,0.9103169251517329,1.8154659312880517,0.7142857142857117,1.7015858316934862,0.18721583311045453,2.7912968794732373,-6.584709950057633,86.9715618960224,79.2547735157015,82.874537555202,88.0353799659418,89.4143746080475,88.0372396902436,88.4006174832919,87.2853655384611,74.2594124988353,69.9905509585545,121.512786227154,87.08666666666666,79.94,82.88666666666667,88.05333333333333,89.52,88.29,88.58999999999999,87.54333333333334,73.33,64.89,122.32333333333334,1.56276563769997,10.62169920587493,3.2466900181888554,0.6092010189598337,0.810744689702266,1.8184269155406534,0.6323288120223906,1.6410341054895843,-1.2475131496493634,-2.083964945746471,-6.299353256467192,86.61886799932206,78.5576278456481,82.37643888147399,87.643095742819,89.11656493062458,87.74690262578072,88.09308512318223,86.98925808939663,73.62847291395087,67.59568006039937,122.31855844894534
2006-09-01,87.84,80.75,83.71,88.84,90.05,88.86,89.18,88.12,75.37,72.52,122.51,1.5961138098542715,7.839209401709413,3.167365048065074,1.0004547521600848,0.8963585434173638,1.589116268434898,0.9051821679113115,1.6026749682924057,0.6006406833956257,0.4014952235912972,-6.158559938720797,87.3897400608288,79.1049334989682,83.2312476118856,88.4460643782743,89.7278841763896,88.344445561278,88.7752669567845,87.6520781996876,74.5435995135388,69.6650455329113,121.74933676097,87.46,80.63333333333333,83.33999999999999,88.40333333333332,89.75666666666666,88.57666666666667,88.82666666666667,87.83,74.30000000000001,68.99333333333333,121.97666666666667,1.5478431117457836,9.334915724225985,3.224378831377399,0.7363822114181628,0.8387116426761857,1.7072551860088419,0.7026274131024746,1.6001444605844888,-0.5087161986102632,-1.1926804100896007,-6.533514599167,86.9501528779943,78.92864517624503,82.7872950349653,87.99242798227708,89.38120853357468,88.0160781886474,88.39735600683805,87.28441417221116,73.94893090133412,68.56326746548939,121.75936941970501
