raw_data_name,data_type,cleaned_name
"Exports, Asia, Non-Mtl.Min.Manufs, Quantum Index",None,"Exports, Asia, Non-Mtl.Min.Manufs, Volume, index"
"Exports, Asia, Non-Mtl.Min.Manufs, Unit Index",None,"Exports, Asia, Non-Mtl.Min.Manufs, Price, index"
"Exports, Asia, Non-Mtl.Min.Manufs, Value Index",None,"Exports, Asia, Non-Mtl.Min.Manufs, Value, index"
"Exports, Asia, Raw Materials, Quantum Index",None,"Exports, Asia, Raw Materials, Volume, index"
"Exports, Asia, Raw Materials, Unit Index",None,"Exports, Asia, Raw Materials, Price, index"
"Exports, Asia, Raw Materials, Value Index",None,"Exports, Asia, Raw Materials, Value, index"
"Exports, Asia, Textiles, Quantum Index",None,"Exports, Asia, Textiles, Volume, index"
"Exports, Asia, Textiles, Unit Index",None,"Exports, Asia, Textiles, Price, index"
"Exports, Asia, Textiles, Value Index",None,"Exports, Asia, Textiles, Value, index"
"Exports, Asia, Total, Quantum Index",None,"Exports, Asia, Total, Volume, index"
"Exports, Asia, Total, Unit Index",None,"Exports, Asia, Total, Price, index"
"Exports, Asia, Total, Value Index",None,"Exports, Asia, Total, Value, index"
"Exports, China, Chemicals, Quantum Index",None,"Exports, China, Chemicals, Volume, index"
"Exports, China, Chemicals, Unit Index",None,"Exports, China, Chemicals, Price, index"
"Exports, China, Chemicals, Value Index",None,"Exports, China, Chemicals, Value, index"
"Exports, China, Food-stuff, Quantum Index",None,"Exports, China, Food-stuff, Volume, index"
"Exports, China, Food-stuff, Unit Index",None,"Exports, China, Food-stuff, Price, index"
"Exports, China, Food-stuff, Value Index",None,"Exports, China, Food-stuff, Value, index"
"Exports, China, Machinery & Equipment, Quantum Index",None,"Exports, China, Machinery & Equipment, Volume, index"
"Exports, China, Machinery & Equipment, Unit Index",None,"Exports, China, Machinery & Equipment, Price, index"
"Exports, China, Machinery & Equipment, Value Index",None,"Exports, China, Machinery & Equipment, Value, index"
"Exports, China, Manufs, Quantum Index",None,"Exports, China, Manufs, Volume, index"
"Exports, China, Manufs, Unit Index",None,"Exports, China, Manufs, Price, index"
"Exports, China, Manufs, Value Index",None,"Exports, China, Manufs, Value, index"
"Exports, China, Metals, Quantum Index",None,"Exports, China, Metals, Volume, index"
"Exports, China, Metals, Unit Index",None,"Exports, China, Metals, Price, index"
"Exports, China, Metals, Value Index",None,"Exports, China, Metals, Value, index"
"Exports, China, Miscellaneous, Quantum Index",None,"Exports, China, Miscellaneous, Volume, index"
"Exports, China, Miscellaneous, Unit Index",None,"Exports, China, Miscellaneous, Price, index"
"Exports, China, Miscellaneous, Value Index",None,"Exports, China, Miscellaneous, Value, index"
"Exports, China, Non-Mtl.Min.Manufs, Quantum Index",None,"Exports, China, Non-Mtl.Min.Manufs, Volume, index"
"Exports, China, Non-Mtl.Min.Manufs, Unit Index",None,"Exports, China, Non-Mtl.Min.Manufs, Price, index"
"Exports, China, Non-Mtl.Min.Manufs, Value Index",None,"Exports, China, Non-Mtl.Min.Manufs, Value, index"
"Exports, China, Raw Materials, Quantum Index",None,"Exports, China, Raw Materials, Volume, index"
"Exports, China, Raw Materials, Unit Index",None,"Exports, China, Raw Materials, Price, index"
"Exports, China, Raw Materials, Value Index",None,"Exports, China, Raw Materials, Value, index"
"Exports, China, Textiles, Quantum Index",None,"Exports, China, Textiles, Volume, index"
"Exports, China, Textiles, Unit Index",None,"Exports, China, Textiles, Price, index"
"Exports, China, Textiles, Value Index",None,"Exports, China, Textiles, Value, index"
"Exports, China, Total, Quantum Index",None,"Exports, China, Total, Volume, index"
"Exports, China, Total, Unit Index",None,"Exports, China, Total, Price, index"
"Exports, China, Total, Value Index",None,"Exports, China, Total, Value, index"
"Exports, EU, Chemicals, Quantum Index",None,"Exports, EU, Chemicals, Volume, index"
"Exports, EU, Chemicals, Unit Index",None,"Exports, EU, Chemicals, Price, index"
"Exports, EU, Chemicals, Value Index",None,"Exports, EU, Chemicals, Value, index"
"Exports, EU, Food-stuff, Quantum Index",None,"Exports, EU, Food-stuff, Volume, index"
"Exports, EU, Food-stuff, Unit Index",None,"Exports, EU, Food-stuff, Price, index"
"Exports, EU, Food-stuff, Value Index",None,"Exports, EU, Food-stuff, Value, index"
"Exports, EU, Machinery & Equipment, Quantum Index",None,"Exports, EU, Machinery & Equipment, Volume, index"
"Exports, EU, Machinery & Equipment, Unit Index",None,"Exports, EU, Machinery & Equipment, Price, index"
"Exports, EU, Machinery & Equipment, Value Index",None,"Exports, EU, Machinery & Equipment, Value, index"
"Exports, EU, Manufs, Quantum Index",None,"Exports, EU, Manufs, Volume, index"
"Exports, EU, Manufs, Unit Index",None,"Exports, EU, Manufs, Price, index"
"Exports, EU, Manufs, Value Index",None,"Exports, EU, Manufs, Value, index"
"Exports, EU, Metals, Quantum Index",None,"Exports, EU, Metals, Volume, index"
"Exports, EU, Metals, Unit Index",None,"Exports, EU, Metals, Price, index"
"Exports, EU, Metals, Value Index",None,"Exports, EU, Metals, Value, index"
"Exports, EU, Miscellaneous, Quantum Index",None,"Exports, EU, Miscellaneous, Volume, index"
"Exports, EU, Miscellaneous, Unit Index",None,"Exports, EU, Miscellaneous, Price, index"
"Exports, EU, Miscellaneous, Value Index",None,"Exports, EU, Miscellaneous, Value, index"
"Exports, EU, Non-Mtl.Min.Manufs, Quantum Index",None,"Exports, EU, Non-Mtl.Min.Manufs, Volume, index"
"Exports, EU, Non-Mtl.Min.Manufs, Unit Index",None,"Exports, EU, Non-Mtl.Min.Manufs, Price, index"
"Exports, EU, Non-Mtl.Min.Manufs, Value Index",None,"Exports, EU, Non-Mtl.Min.Manufs, Value, index"
"Exports, EU, Raw Materials, Quantum Index",None,"Exports, EU, Raw Materials, Volume, index"
"Exports, EU, Raw Materials, Unit Index",None,"Exports, EU, Raw Materials, Price, index"
"Exports, EU, Raw Materials, Value Index",None,"Exports, EU, Raw Materials, Value, index"
"Exports, EU, Textiles, Quantum Index",None,"Exports, EU, Textiles, Volume, index"
"Exports, EU, Textiles, Unit Index",None,"Exports, EU, Textiles, Price, index"
"Exports, EU, Textiles, Value Index",None,"Exports, EU, Textiles, Value, index"
"Exports, EU, Total, Quantum Index",None,"Exports, EU, Total, Volume, index"
"Exports, EU, Total, Unit Index",None,"Exports, EU, Total, Price, index"
"Exports, EU, Total, Value Index",None,"Exports, EU, Total, Value, index"
"Exports, UK, Chemicals, Quantum Index",None,"Exports, UK, Chemicals, Volume, index"
"Exports, UK, Chemicals, Unit Index",None,"Exports, UK, Chemicals, Price, index"
"Exports, UK, Chemicals, Value Index",None,"Exports, UK, Chemicals, Value, index"
"Exports, UK, Food-stuff, Quantum Index",None,"Exports, UK, Food-stuff, Volume, index"
"Exports, UK, Food-stuff, Unit Index",None,"Exports, UK, Food-stuff, Price, index"
"Exports, UK, Food-stuff, Value Index",None,"Exports, UK, Food-stuff, Value, index"
"Exports, UK, Machinery & Equipment, Quantum Index",None,"Exports, UK, Machinery & Equipment, Volume, index"
"Exports, UK, Machinery & Equipment, Unit Index",None,"Exports, UK, Machinery & Equipment, Price, index"
"Exports, UK, Machinery & Equipment, Value Index",None,"Exports, UK, Machinery & Equipment, Value, index"
