raw_data_name,data_type,cleaned_name
"Taiwan, Exports, HS, 8501, USD bn",b,"Taiwan, Exports, HS, 8501, Value, USD"
"Taiwan, Exports, HS, 8502, USD bn",b,"Taiwan, Exports, HS, 8502, Value, USD"
"Taiwan, Exports, HS, 8503, USD bn",b,"Taiwan, Exports, HS, 8503, Value, USD"
"Taiwan, Exports, HS, 8504, USD bn",b,"Taiwan, Exports, HS, 8504, Value, USD"
"Taiwan, Exports, HS, 8505, USD bn",b,"Taiwan, Exports, HS, 8505, Value, USD"
"Taiwan, Exports, HS, 8506, USD bn",b,"Taiwan, Exports, HS, 8506, Value, USD"
"Taiwan, Exports, HS, 8507, USD bn",b,"Taiwan, Exports, HS, 8507, Value, USD"
"Taiwan, Exports, HS, 8508, USD bn",b,"Taiwan, Exports, HS, 8508, Value, USD"
"Taiwan, Exports, HS, 8509, USD bn",b,"Taiwan, Exports, HS, 8509, Value, USD"
"Taiwan, Exports, HS, 8510, USD bn",b,"Taiwan, Exports, HS, 8510, Value, USD"
"Taiwan, Exports, HS, 8511, USD bn",b,"Taiwan, Exports, HS, 8511, Value, USD"
"Taiwan, Exports, HS, 8512, USD bn",b,"Taiwan, Exports, HS, 8512, Value, USD"
"Taiwan, Exports, HS, 8513, USD bn",b,"Taiwan, Exports, HS, 8513, Value, USD"
"Taiwan, Exports, HS, 8514, USD bn",b,"Taiwan, Exports, HS, 8514, Value, USD"
"Taiwan, Exports, HS, 8515, USD bn",b,"Taiwan, Exports, HS, 8515, Value, USD"
"Taiwan, Exports, HS, 8516, USD bn",b,"Taiwan, Exports, HS, 8516, Value, USD"
"Taiwan, Exports, HS, 8517, USD bn",b,"Taiwan, Exports, HS, 8517, Value, USD"
"Taiwan, Exports, HS, 8518, USD bn",b,"Taiwan, Exports, HS, 8518, Value, USD"
"Taiwan, Exports, HS, 8519, USD bn",b,"Taiwan, Exports, HS, 8519, Value, USD"
"Taiwan, Exports, HS, 8521, USD bn",b,"Taiwan, Exports, HS, 8521, Value, USD"
"Taiwan, Exports, HS, 8522, USD bn",b,"Taiwan, Exports, HS, 8522, Value, USD"
"Taiwan, Exports, HS, 8523, USD bn",b,"Taiwan, Exports, HS, 8523, Value, USD"
"Taiwan, Exports, HS, 8524, USD bn",b,"Taiwan, Exports, HS, 8524, Value, USD"
"Taiwan, Exports, HS, 8525, USD bn",b,"Taiwan, Exports, HS, 8525, Value, USD"
"Taiwan, Exports, HS, 8526, USD bn",b,"Taiwan, Exports, HS, 8526, Value, USD"
"Taiwan, Exports, HS, 8527, USD bn",b,"Taiwan, Exports, HS, 8527, Value, USD"
"Taiwan, Exports, HS, 8528, USD bn",b,"Taiwan, Exports, HS, 8528, Value, USD"
"Taiwan, Exports, HS, 8529, USD bn",b,"Taiwan, Exports, HS, 8529, Value, USD"
"Taiwan, Exports, HS, 8530, USD bn",b,"Taiwan, Exports, HS, 8530, Value, USD"
"Taiwan, Exports, HS, 8531, USD bn",b,"Taiwan, Exports, HS, 8531, Value, USD"
"Taiwan, Exports, HS, 8532, USD bn",b,"Taiwan, Exports, HS, 8532, Value, USD"
"Taiwan, Exports, HS, 8533, USD bn",b,"Taiwan, Exports, HS, 8533, Value, USD"
"Taiwan, Exports, HS, 8534, USD bn",b,"Taiwan, Exports, HS, 8534, Value, USD"
"Taiwan, Exports, HS, 8535, USD bn",b,"Taiwan, Exports, HS, 8535, Value, USD"
"Taiwan, Exports, HS, 8536, USD bn",b,"Taiwan, Exports, HS, 8536, Value, USD"
"Taiwan, Exports, HS, 8537, USD bn",b,"Taiwan, Exports, HS, 8537, Value, USD"
"Taiwan, Exports, HS, 8538, USD bn",b,"Taiwan, Exports, HS, 8538, Value, USD"
"Taiwan, Exports, HS, 8539, USD bn",b,"Taiwan, Exports, HS, 8539, Value, USD"
"Taiwan, Exports, HS, 8540, USD bn",b,"Taiwan, Exports, HS, 8540, Value, USD"
"Taiwan, Exports, HS, 8541, USD bn",b,"Taiwan, Exports, HS, 8541, Value, USD"
"Taiwan, Exports, HS, 8542, USD bn",b,"Taiwan, Exports, HS, 8542, Value, USD"
"Taiwan, Exports, HS, 8543, USD bn",b,"Taiwan, Exports, HS, 8543, Value, USD"
"Taiwan, Exports, HS, 8544, USD bn",b,"Taiwan, Exports, HS, 8544, Value, USD"
"Taiwan, Exports, HS, 8545, USD bn",b,"Taiwan, Exports, HS, 8545, Value, USD"
"Taiwan, Exports, HS, 8546, USD bn",b,"Taiwan, Exports, HS, 8546, Value, USD"
"Taiwan, Exports, HS, 8547, USD bn",b,"Taiwan, Exports, HS, 8547, Value, USD"
"Taiwan, Exports, HS, 8548, USD bn",b,"Taiwan, Exports, HS, 8548, Value, USD"
"Taiwan, Exports, HS, 8549, USD bn",b,"Taiwan, Exports, HS, 8549, Value, USD"
"Taiwan, Exports, HS, Impo, USD bn",b,"Taiwan, Exports, HS, Impo, Value, USD"
"Taiwan, Exports, HS, 8541 and 8542, USD bn",b,"Taiwan, Exports, HS, 8541 and 8542, Value, USD"
"Taiwan, Exports, HS, 8541 and 8542 and 8471, USD bn",b,"Taiwan, Exports, HS, 8541 and 8542 and 8471, Value, USD"
"Taiwan, Exports, HS, 8541 and 8542 and 847180, USD bn",b,"Taiwan, Exports, HS, 8541 and 8542 and 847180, Value, USD"
"Taiwan, Exports, Africa, USD bn",b,"Taiwan, Exports, Africa, Value, USD"
"Taiwan, Exports, Albania, USD bn",b,"Taiwan, Exports, Albania, Value, USD"
"Taiwan, Exports, Asia, USD bn",b,"Taiwan, Exports, Asia, Value, USD"
"Taiwan, Exports, Australia, USD bn",b,"Taiwan, Exports, Australia, Value, USD"
"Taiwan, Exports, Austria, USD bn",b,"Taiwan, Exports, Austria, Value, USD"
"Taiwan, Exports, Belarus, USD bn",b,"Taiwan, Exports, Belarus, Value, USD"
"Taiwan, Exports, Belgium, USD bn",b,"Taiwan, Exports, Belgium, Value, USD"
"Taiwan, Exports, Bhutan, USD bn",b,"Taiwan, Exports, Bhutan, Value, USD"
"Taiwan, Exports, BosniaandHerzegovina, USD bn",b,"Taiwan, Exports, BosniaandHerzegovina, Value, USD"
"Taiwan, Exports, Brunei, USD bn",b,"Taiwan, Exports, Brunei, Value, USD"
"Taiwan, Exports, Bulgaria, USD bn",b,"Taiwan, Exports, Bulgaria, Value, USD"
"Taiwan, Exports, Cambodia, USD bn",b,"Taiwan, Exports, Cambodia, Value, USD"
"Taiwan, Exports, Canada, USD bn",b,"Taiwan, Exports, Canada, Value, USD"
"Taiwan, Exports, Central America, USD bn",b,"Taiwan, Exports, Central America, Value, USD"
"Taiwan, Exports, China, USD bn",b,"Taiwan, Exports, China, Value, USD"
"Taiwan, Exports, Croatia, USD bn",b,"Taiwan, Exports, Croatia, Value, USD"
"Taiwan, Exports, CzechRepublic, USD bn",b,"Taiwan, Exports, CzechRepublic, Value, USD"
"Taiwan, Exports, Denmark, USD bn",b,"Taiwan, Exports, Denmark, Value, USD"
"Taiwan, Exports, Estonia, USD bn",b,"Taiwan, Exports, Estonia, Value, USD"
"Taiwan, Exports, Europe, USD bn",b,"Taiwan, Exports, Europe, Value, USD"
"Taiwan, Exports, Finland, USD bn",b,"Taiwan, Exports, Finland, Value, USD"
"Taiwan, Exports, France, USD bn",b,"Taiwan, Exports, France, Value, USD"
"Taiwan, Exports, Germany, USD bn",b,"Taiwan, Exports, Germany, Value, USD"
"Taiwan, Exports, Greece, USD bn",b,"Taiwan, Exports, Greece, Value, USD"
"Taiwan, Exports, Hong Kong, USD bn",b,"Taiwan, Exports, Hong Kong, Value, USD"
"Taiwan, Exports, Hungary, USD bn",b,"Taiwan, Exports, Hungary, Value, USD"
"Taiwan, Exports, Iceland, USD bn",b,"Taiwan, Exports, Iceland, Value, USD"
"Taiwan, Exports, Indonesia, USD bn",b,"Taiwan, Exports, Indonesia, Value, USD"
"Taiwan, Exports, Ireland, USD bn",b,"Taiwan, Exports, Ireland, Value, USD"
"Taiwan, Exports, Italy, USD bn",b,"Taiwan, Exports, Italy, Value, USD"
"Taiwan, Exports, Japan, USD bn",b,"Taiwan, Exports, Japan, Value, USD"
"Taiwan, Exports, Korea, USD bn",b,"Taiwan, Exports, Korea, Value, USD"
"Taiwan, Exports, Laos, USD bn",b,"Taiwan, Exports, Laos, Value, USD"
"Taiwan, Exports, Latvia, USD bn",b,"Taiwan, Exports, Latvia, Value, USD"
"Taiwan, Exports, Lithuania, USD bn",b,"Taiwan, Exports, Lithuania, Value, USD"
"Taiwan, Exports, Luxembourg, USD bn",b,"Taiwan, Exports, Luxembourg, Value, USD"
"Taiwan, Exports, Malaysia, USD bn",b,"Taiwan, Exports, Malaysia, Value, USD"
"Taiwan, Exports, Malta, USD bn",b,"Taiwan, Exports, Malta, Value, USD"
"Taiwan, Exports, Middle East, USD bn",b,"Taiwan, Exports, Middle East, Value, USD"
"Taiwan, Exports, Moldova, USD bn",b,"Taiwan, Exports, Moldova, Value, USD"
"Taiwan, Exports, Monaco, USD bn",b,"Taiwan, Exports, Monaco, Value, USD"
"Taiwan, Exports, Montenegro, USD bn",b,"Taiwan, Exports, Montenegro, Value, USD"
"Taiwan, Exports, Myanmar, USD bn",b,"Taiwan, Exports, Myanmar, Value, USD"
"Taiwan, Exports, Netherlands, USD bn",b,"Taiwan, Exports, Netherlands, Value, USD"
"Taiwan, Exports, New Zealand, USD bn",b,"Taiwan, Exports, New Zealand, Value, USD"
"Taiwan, Exports, North America, USD bn",b,"Taiwan, Exports, North America, Value, USD"
"Taiwan, Exports, NorthMacedonia, USD bn",b,"Taiwan, Exports, NorthMacedonia, Value, USD"
"Taiwan, Exports, Norway, USD bn",b,"Taiwan, Exports, Norway, Value, USD"
"Taiwan, Exports, Oceania, USD bn",b,"Taiwan, Exports, Oceania, Value, USD"
"Taiwan, Exports, Philippines, USD bn",b,"Taiwan, Exports, Philippines, Value, USD"
"Taiwan, Exports, Poland, USD bn",b,"Taiwan, Exports, Poland, Value, USD"
"Taiwan, Exports, Portugal, USD bn",b,"Taiwan, Exports, Portugal, Value, USD"
"Taiwan, Exports, Romania, USD bn",b,"Taiwan, Exports, Romania, Value, USD"
"Taiwan, Exports, Russia, USD bn",b,"Taiwan, Exports, Russia, Value, USD"
"Taiwan, Exports, Serbia, USD bn",b,"Taiwan, Exports, Serbia, Value, USD"
"Taiwan, Exports, Singapore, USD bn",b,"Taiwan, Exports, Singapore, Value, USD"
"Taiwan, Exports, Slovakia, USD bn",b,"Taiwan, Exports, Slovakia, Value, USD"
"Taiwan, Exports, Slovenia, USD bn",b,"Taiwan, Exports, Slovenia, Value, USD"
"Taiwan, Exports, South America, USD bn",b,"Taiwan, Exports, South America, Value, USD"
"Taiwan, Exports, Spain, USD bn",b,"Taiwan, Exports, Spain, Value, USD"
"Taiwan, Exports, Sweden, USD bn",b,"Taiwan, Exports, Sweden, Value, USD"
"Taiwan, Exports, Switzerland, USD bn",b,"Taiwan, Exports, Switzerland, Value, USD"
"Taiwan, Exports, Thailand, USD bn",b,"Taiwan, Exports, Thailand, Value, USD"
"Taiwan, Exports, UK, USD bn",b,"Taiwan, Exports, UK, Value, USD"
"Taiwan, Exports, US, USD bn",b,"Taiwan, Exports, US, Value, USD"
"Taiwan, Exports, Ukraine, USD bn",b,"Taiwan, Exports, Ukraine, Value, USD"
"Taiwan, Exports, Vietnam, USD bn",b,"Taiwan, Exports, Vietnam, Value, USD"
"Taiwan, Imports, Africa, USD bn",b,"Taiwan, Imports, Africa, Value, USD"
"Taiwan, Imports, Albania, USD bn",b,"Taiwan, Imports, Albania, Value, USD"
"Taiwan, Imports, Asia, USD bn",b,"Taiwan, Imports, Asia, Value, USD"
"Taiwan, Imports, Australia, USD bn",b,"Taiwan, Imports, Australia, Value, USD"
"Taiwan, Imports, Austria, USD bn",b,"Taiwan, Imports, Austria, Value, USD"
"Taiwan, Imports, Belarus, USD bn",b,"Taiwan, Imports, Belarus, Value, USD"
"Taiwan, Imports, Belgium, USD bn",b,"Taiwan, Imports, Belgium, Value, USD"
"Taiwan, Imports, Bhutan, USD bn",b,"Taiwan, Imports, Bhutan, Value, USD"
"Taiwan, Imports, BosniaandHerzegovina, USD bn",b,"Taiwan, Imports, BosniaandHerzegovina, Value, USD"
"Taiwan, Imports, Brunei, USD bn",b,"Taiwan, Imports, Brunei, Value, USD"
"Taiwan, Imports, Bulgaria, USD bn",b,"Taiwan, Imports, Bulgaria, Value, USD"
